tourId,title,reason,link,image,price
448618,Men's Longboard California Cruiser,notAllowedActivity,https://www.alloutdooradventures.com/tours/men-s-longboard-california-cruiser,,129.00 USD
448624,Ladies Longboard California Cruiser,notAllowedActivity,https://www.alloutdooradventures.com/tours/ladies-longboard-california-cruiser,,129.00 USD
450252,Online Coaching & Trip Planning,notAllowedActivity,https://www.alloutdooradventures.com/tours/online-coaching-and-trip-planning,,129.00 USD
454478,Mini-Run One,notAllowedActivity,https://www.alloutdooradventures.com/tours/mini-run-one,,129.00 USD
458850,Sizzling Summer Nights,notAllowedActivity,https://www.alloutdooradventures.com/tours/sizzling-summer-nights,,129.00 USD
458894,Sizzling Summer Nights: Vehicle Registration,notAllowedActivity,https://www.alloutdooradventures.com/tours/sizzling-summer-nights-vehicle-registration,,129.00 USD
458933,"Escape the Heat! 4 Days in Beautiful San Diego, California",notAllowedActivity,https://www.alloutdooradventures.com/tours/escape-the-heat-4-days-in-beautiful-san-diego-california,,129.00 USD
476135,California Wild Kids Camp,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-wild-kids-camp,,129.00 USD
477126,California Science Center Family Field Trip,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-science-center-family-field-trip,,129.00 USD
477438,Model Train Workshop,notAllowedActivity,https://www.alloutdooradventures.com/tours/model-train-workshop,,129.00 USD
477443,Perris Appreciation Day,notAllowedActivity,https://www.alloutdooradventures.com/tours/perris-appreciation-day,,129.00 USD
479885,Promo Weekday Harbor Cruise,notAllowedActivity,https://www.alloutdooradventures.com/tours/promo-weekday-harbor-cruise,,129.00 USD
485884,Private Clearly Explorer Excursion,notAllowedActivity,https://www.alloutdooradventures.com/tours/private-clearly-explorer-excursion,,129.00 USD
488267,Thanksgiving Spearfishing Retreat - Baja California Sur,notAllowedActivity,https://www.alloutdooradventures.com/tours/thanksgiving-spearfishing-retreat-baja-california-sur,,129.00 USD
512408,Ferrari California T Convertible,notAllowedActivity,https://www.alloutdooradventures.com/tours/ferrari-california-t-convertible,,129.00 USD
521284,Fall Victorian Tea,notAllowedActivity,https://www.alloutdooradventures.com/tours/fall-victorian-tea,,129.00 USD
522271,Third Fridays,notAllowedActivity,https://www.alloutdooradventures.com/tours/third-fridays,,129.00 USD
523784,First Class Departures,notAllowedActivity,https://www.alloutdooradventures.com/tours/first-class-departures,,129.00 USD
537238,Private Charter on California 60' | My Christopher,notAllowedActivity,https://www.alloutdooradventures.com/tours/private-charter-on-california-60-my-christopher,,129.00 USD
545857,Seasonal California with Chef Mat,notAllowedActivity,https://www.alloutdooradventures.com/tours/seasonal-california-with-chef-mat,,129.00 USD
548651,Mammoth Cave Expedition,notAllowedActivity,https://www.alloutdooradventures.com/tours/mammoth-cave-expedition,,129.00 USD
548655,Middle Earth Cave Expedition,notAllowedActivity,https://www.alloutdooradventures.com/tours/middle-earth-cave-expedition,,129.00 USD
548660,Group Reservations,notAllowedActivity,https://www.alloutdooradventures.com/tours/group-reservations,,129.00 USD
566132,Surfboard and Wetsuit Rentals,notAllowedActivity,https://www.alloutdooradventures.com/tours/surfboard-and-wetsuit-rentals,,129.00 USD
570611,70' Hotel California,notAllowedActivity,https://www.alloutdooradventures.com/tours/70-hotel-california,,129.00 USD
581571,The Fred Harvey Experience,notAllowedActivity,https://www.alloutdooradventures.com/tours/the-fred-harvey-experience,,129.00 USD
602373,California History - Open Sign Up,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-history-open-sign-up,,129.00 USD
609612,Business Class Departures,notAllowedActivity,https://www.alloutdooradventures.com/tours/business-class-departures,,129.00 USD
612849,"Wine & Weave: Benefitting the Hawaiian Civic Clubs of Lahaina and Southern California (Los Angeles, Orange County & San Diego)",notAllowedActivity,https://www.alloutdooradventures.com/tours/wine-and-weave-benefitting-the-hawaiian-civic-clubs-of-lahaina-and-southern-california-los-angeles-orange-county-and-san-diego,,129.00 USD
614474,PADI Advanced Open Water Diver Course,notAllowedActivity,https://www.alloutdooradventures.com/tours/padi-advanced-open-water-diver-course,,129.00 USD
622922,PADI Open Water Diver Course,notAllowedActivity,https://www.alloutdooradventures.com/tours/padi-open-water-diver-course,,129.00 USD
623795,In-Person California CCW Course - Initial - Humboldt/Del Norte/Trinity,notAllowedActivity,https://www.alloutdooradventures.com/tours/in-person-california-ccw-course-initial-humboldt-del-norte-trinity,,129.00 USD
623804,In-Person California CCW Course - Re-Qualify - Humboldt/Del Norte/Trinity,notAllowedActivity,https://www.alloutdooradventures.com/tours/in-person-california-ccw-course-re-qualify-humboldt-del-norte-trinity,,129.00 USD
623820,Modify your California CCW/Add a gun - Humboldt/Del Norte/Trinity,notAllowedActivity,https://www.alloutdooradventures.com/tours/modify-your-california-ccw-add-a-gun-humboldt-del-norte-trinity,,129.00 USD
629920,Kings Canyon National Park Advanced Backpacking,notAllowedActivity,https://www.alloutdooradventures.com/tours/kings-canyon-national-park-advanced-backpacking,,129.00 USD
629926,Joshua Tree Camping: Good Trip Scouts,notAllowedActivity,https://www.alloutdooradventures.com/tours/joshua-tree-camping-good-trip-scouts,,129.00 USD
630370,California CCW Course - Initial - Mendocino County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-ccw-course-initial-mendocino-county,,129.00 USD
630372,California Conceal Weapons Course - Initial - Trinity County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-conceal-weapons-course-initial-trinity-county,,129.00 USD
630374,California Conceal Weapons Course - Initail - Del Norte County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-conceal-weapons-course-initail-del-norte-county,,129.00 USD
630375,California Conceal Weapons Course - Initial - Glenn County,notAllowedActivity,https://www.alloutdooradventures.com/tours/california-conceal-weapons-course-initial-glenn-county,,129.00 USD
